epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4129.35,1.20256,0.79137,1.10524,0.79459,0.86233,0.86261,0.64985,0.93282,0.58603,1.00479,0.00492625,0.00492625,0.00492625
43,4216.53,1.19276,0.78496,1.09974,0.81705,0.84322,0.86384,0.64868,0.96883,0.58238,1.01421,0.0048025,0.0048025,0.0048025
44,4304.32,1.19634,0.78082,1.09835,0.82094,0.84274,0.86351,0.64079,0.99096,0.57806,1.01608,0.00467875,0.00467875,0.00467875
45,4392.35,1.18302,0.77763,1.0917,0.80612,0.84675,0.86125,0.64313,0.95141,0.58868,1.00592,0.004555,0.004555,0.004555
46,4479.21,1.18359,0.77404,1.09501,0.79664,0.87397,0.8624,0.63958,0.98919,0.58586,1.01559,0.00443125,0.00443125,0.00443125
47,4566.94,1.18464,0.76857,1.09517,0.80644,0.84933,0.86,0.64591,0.9373,0.57445,1.00553,0.0043075,0.0043075,0.0043075
48,4660.53,1.17622,0.76445,1.09026,0.81811,0.85473,0.86222,0.65079,0.92615,0.57105,1.00409,0.00418375,0.00418375,0.00418375
49,4759.41,1.17338,0.76543,1.09141,0.80681,0.85844,0.86412,0.65548,0.91474,0.56042,1.00034,0.00406,0.00406,0.00406
50,4854.88,1.17311,0.76379,1.08513,0.81478,0.8421,0.85965,0.65024,0.91422,0.56799,0.99981,0.00393625,0.00393625,0.00393625
51,4950.46,1.16307,0.76175,1.08118,0.79494,0.85932,0.86392,0.6523,0.91753,0.5666,0.99976,0.0038125,0.0038125,0.0038125
52,5046.24,1.1627,0.74783,1.07986,0.81215,0.86111,0.86631,0.65215,0.91634,0.56184,0.9986,0.00368875,0.00368875,0.00368875
53,5142.59,1.15025,0.7462,1.079,0.81253,0.84673,0.86698,0.65641,0.91632,0.55692,0.99873,0.003565,0.003565,0.003565
54,5238.45,1.15164,0.75216,1.07766,0.81149,0.85951,0.86656,0.65561,0.90644,0.55593,0.99497,0.00344125,0.00344125,0.00344125
55,5335.23,1.15659,0.74444,1.07601,0.81642,0.83822,0.86791,0.65714,0.90446,0.54816,0.99349,0.0033175,0.0033175,0.0033175
56,5431.27,1.15218,0.74103,1.07839,0.8181,0.84834,0.87016,0.65894,0.89553,0.54629,0.99088,0.00319375,0.00319375,0.00319375
57,5527.26,1.15516,0.74072,1.07859,0.81303,0.84593,0.86761,0.65172,0.91384,0.55112,0.99856,0.00307,0.00307,0.00307
58,5623.23,1.1417,0.72981,1.07813,0.83234,0.83523,0.86711,0.65898,0.88831,0.54414,0.99069,0.00294625,0.00294625,0.00294625
59,5719.12,1.13503,0.73134,1.06535,0.81218,0.8583,0.86664,0.66166,0.88706,0.54467,0.99107,0.0028225,0.0028225,0.0028225
