epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,329.18,1.28909,0.75845,1.054,0.85059,0.89908,0.94716,0.70734,0.93275,0.59078,0.99232,0.000821206,0.000821206,0.000821206
43,336.719,1.28104,0.7659,1.05333,0.86449,0.90082,0.94199,0.67452,1.00013,0.60074,1.01978,0.000800577,0.000800577,0.000800577
44,344.056,1.2554,0.75256,1.04145,0.89298,0.90854,0.9516,0.70362,0.92751,0.56632,0.9935,0.000779948,0.000779948,0.000779948
45,351.453,1.25841,0.74527,1.04786,0.91818,0.87578,0.94001,0.70121,0.90473,0.59004,0.97748,0.000759318,0.000759318,0.000759318
46,358.608,1.26556,0.77059,1.04939,0.85453,0.90838,0.9398,0.68358,0.96399,0.61403,1.00284,0.000738689,0.000738689,0.000738689
47,366.075,1.27021,0.75077,1.03789,0.87571,0.8783,0.93959,0.69658,0.9456,0.60463,0.99723,0.00071806,0.00071806,0.00071806
48,373.346,1.2569,0.74605,1.03457,0.87538,0.90056,0.95016,0.642,1.16087,0.62424,1.07722,0.000697431,0.000697431,0.000697431
49,380.656,1.2728,0.74753,1.03907,0.90238,0.89759,0.94735,0.66148,1.03804,0.58787,1.02891,0.000676802,0.000676802,0.000676802
50,387.814,1.26541,0.74637,1.0379,0.84965,0.91238,0.93894,0.70585,0.93117,0.58895,0.99377,0.000656173,0.000656173,0.000656173
51,395.558,1.24997,0.73819,1.02689,0.82819,0.90798,0.93374,0.68792,0.92344,0.61398,0.98879,0.000635544,0.000635544,0.000635544
52,402.985,1.22706,0.7232,1.03542,0.8447,0.84366,0.92469,0.67824,0.95395,0.60844,0.99889,0.000614915,0.000614915,0.000614915
53,410.885,1.22802,0.73729,1.02824,0.85505,0.87875,0.94611,0.6985,0.94329,0.57358,0.9925,0.000594286,0.000594286,0.000594286
54,418.294,1.22673,0.70642,1.01976,0.88688,0.90544,0.9347,0.69035,0.94873,0.59362,0.99633,0.000573656,0.000573656,0.000573656
55,425.586,1.22863,0.71918,1.04672,0.85202,0.8799,0.94733,0.68808,0.94827,0.56924,0.99932,0.000553027,0.000553027,0.000553027
56,432.772,1.22519,0.72288,1.0331,0.86291,0.92491,0.94751,0.7132,0.88796,0.55503,0.98507,0.000532398,0.000532398,0.000532398
57,440.343,1.21461,0.70983,1.02803,0.86621,0.90403,0.95111,0.70339,0.9587,0.55005,1.00055,0.000511769,0.000511769,0.000511769
58,447.693,1.21057,0.6948,1.03665,0.82904,0.91488,0.94422,0.71864,0.91986,0.57935,0.99176,0.00049114,0.00049114,0.00049114
59,455.163,1.21184,0.69727,1.01237,0.86562,0.89501,0.95476,0.7117,0.95518,0.56066,0.99546,0.000470511,0.000470511,0.000470511
60,462.357,1.22532,0.70278,1.02016,0.88536,0.87272,0.93963,0.69541,0.95963,0.58451,0.99446,0.000449882,0.000449882,0.000449882
61,469.891,1.21111,0.70139,1.02145,0.85798,0.9115,0.94305,0.69676,0.95869,0.5745,0.99097,0.000429253,0.000429253,0.000429253
62,477.307,1.18647,0.67866,1.00723,0.86474,0.91507,0.94811,0.71309,0.90315,0.57431,0.98065,0.000408623,0.000408623,0.000408623
63,484.766,1.1957,0.68039,1.01819,0.87065,0.90507,0.9469,0.70084,0.97202,0.56378,1.01333,0.000387994,0.000387994,0.000387994
64,492.466,1.15249,0.67371,1.00859,0.85258,0.94254,0.94829,0.718,0.90154,0.55155,0.98465,0.000367365,0.000367365,0.000367365
65,499.641,1.16369,0.68506,1.00976,0.82257,0.92348,0.9504,0.69631,0.95263,0.55704,1.00556,0.000346736,0.000346736,0.000346736
66,506.96,1.18073,0.67729,1.01156,0.87322,0.88946,0.94333,0.6933,0.97897,0.56612,1.00275,0.000326107,0.000326107,0.000326107
67,514.076,1.15547,0.66227,1.00134,0.88526,0.89391,0.94793,0.7183,0.90088,0.55577,0.97763,0.000305478,0.000305478,0.000305478
68,521.688,1.1697,0.67043,1.00265,0.85766,0.92747,0.95634,0.72905,0.88542,0.55541,0.9789,0.000284849,0.000284849,0.000284849
69,529.128,1.15921,0.67291,1.00354,0.87937,0.8983,0.95706,0.71898,0.90167,0.53653,0.98929,0.00026422,0.00026422,0.00026422
