epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2005,1.92281,2.77172,1.01837,0.02986,0.30633,0.25309,0.10862,1.75108,3.26062,0.93949,0.000541775,0.000541775,0.000541775
2,21.8156,1.75306,1.43719,0.97593,0.71839,0.39155,0.62285,0.34956,1.45643,2.27641,0.90351,0.00107933,0.00107933,0.00107933
3,29.3915,1.7257,1.33093,0.9653,0.8469,0.51692,0.68308,0.40713,1.33454,1.71791,0.8905,0.00159856,0.00159856,0.00159856
4,36.6079,1.60802,1.17987,0.94458,0.69407,0.68122,0.71364,0.41485,1.36197,1.1183,0.89569,0.00158448,0.00158448,0.00158448
5,44.1031,1.56088,1.11157,0.94002,0.84461,0.16853,0.35558,0.15165,2.23391,1.92858,1.09823,0.00155698,0.00155698,0.00155698
6,51.3168,1.57859,1.09171,0.94033,0.72657,0.43203,0.51578,0.26488,1.7684,1.42548,0.99339,0.00152947,0.00152947,0.00152947
7,58.7579,1.56498,1.0607,0.93383,0.81304,0.68119,0.74082,0.42817,1.34745,0.91509,0.89324,0.00150197,0.00150197,0.00150197
8,66.4948,1.5537,1.02856,0.92902,0.86889,0.77273,0.85345,0.5136,1.28478,0.78401,0.87712,0.00147446,0.00147446,0.00147446
9,74.2567,1.49271,0.98478,0.91964,0.85537,0.79989,0.85458,0.50354,1.22616,0.77621,0.8756,0.00144696,0.00144696,0.00144696
10,81.6188,1.51219,0.99546,0.91896,0.86208,0.73829,0.80635,0.45752,1.42204,0.86024,0.90684,0.00141945,0.00141945,0.00141945
11,88.6691,1.50851,0.98383,0.91959,0.80358,0.6565,0.7395,0.44558,1.28864,0.86053,0.88299,0.00139195,0.00139195,0.00139195
12,95.9338,1.47744,0.96539,0.91853,0.90344,0.73072,0.83966,0.54811,1.14453,0.732,0.87031,0.00136444,0.00136444,0.00136444
13,103.169,1.47953,0.95296,0.91441,0.82024,0.77965,0.82874,0.50437,1.25116,0.75654,0.87546,0.00133693,0.00133693,0.00133693
14,110.612,1.46463,0.93313,0.91495,0.82826,0.80515,0.8724,0.55652,1.16618,0.71741,0.86431,0.00130943,0.00130943,0.00130943
15,117.602,1.48013,0.93311,0.9182,0.80408,0.77941,0.83357,0.51358,1.23712,0.86471,0.87544,0.00128192,0.00128192,0.00128192
16,125.015,1.46302,0.90216,0.91409,0.84715,0.77608,0.87032,0.56344,1.15008,0.71276,0.86302,0.00125442,0.00125442,0.00125442
17,132.051,1.40579,0.88131,0.90505,0.88278,0.80661,0.88279,0.56563,1.14134,0.69555,0.85948,0.00122691,0.00122691,0.00122691
18,139.745,1.41479,0.87505,0.90881,0.84568,0.79936,0.88375,0.53687,1.29473,0.71748,0.88212,0.00119941,0.00119941,0.00119941
19,147.109,1.42879,0.89232,0.90239,0.84376,0.83782,0.8802,0.56977,1.15512,0.69358,0.8649,0.0011719,0.0011719,0.0011719
