epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,154.417,1.39838,0.86396,0.90579,0.85325,0.81507,0.87676,0.5314,1.27779,0.72342,0.87916,0.0011444,0.0011444,0.0011444
21,161.33,1.40059,0.87262,0.90139,0.84476,0.74079,0.82471,0.52228,1.19668,0.74053,0.86862,0.00111689,0.00111689,0.00111689
22,168.574,1.36869,0.84236,0.9005,0.88137,0.78429,0.86734,0.56114,1.18197,0.7514,0.86514,0.00108938,0.00108938,0.00108938
23,175.62,1.38815,0.87194,0.89848,0.81664,0.80619,0.87914,0.58752,1.05654,0.73014,0.85146,0.00106188,0.00106188,0.00106188
24,182.811,1.36549,0.83546,0.89594,0.83656,0.82308,0.88368,0.55824,1.18179,0.69171,0.86076,0.00103437,0.00103437,0.00103437
25,190.145,1.37164,0.83243,0.90352,0.84186,0.81353,0.87314,0.55094,1.21601,0.69362,0.86659,0.00100687,0.00100687,0.00100687
26,197.584,1.3668,0.82556,0.89813,0.84814,0.83199,0.8928,0.57958,1.12621,0.6894,0.85863,0.000979362,0.000979362,0.000979362
27,204.759,1.35702,0.81611,0.89351,0.839,0.83242,0.89016,0.60163,1.0557,0.64616,0.84986,0.000951857,0.000951857,0.000951857
28,211.973,1.34576,0.81243,0.89553,0.84656,0.83145,0.88419,0.59092,1.08966,0.65176,0.85503,0.000924352,0.000924352,0.000924352
29,219.374,1.33573,0.79524,0.89344,0.84107,0.83129,0.8881,0.59997,1.07535,0.65014,0.85412,0.000896846,0.000896846,0.000896846
30,226.52,1.3397,0.79505,0.89093,0.81417,0.8563,0.88623,0.60066,1.03454,0.6414,0.84678,0.00086934,0.00086934,0.00086934
31,233.906,1.35882,0.79437,0.89738,0.84325,0.85517,0.90181,0.59653,1.10137,0.66217,0.85503,0.000841835,0.000841835,0.000841835
32,240.972,1.39509,0.80456,0.89428,0.87334,0.83032,0.90137,0.60708,1.08194,0.65042,0.85203,0.000814329,0.000814329,0.000814329
33,248.051,1.31959,0.7868,0.8902,0.84261,0.84133,0.89339,0.61106,1.02888,0.62526,0.84564,0.000786824,0.000786824,0.000786824
34,254.961,1.31745,0.79046,0.88691,0.87137,0.85271,0.90379,0.58988,1.10842,0.63662,0.85906,0.000759318,0.000759318,0.000759318
35,262.792,1.33509,0.77655,0.88795,0.84939,0.83967,0.90431,0.6156,1.05543,0.63013,0.8486,0.000731813,0.000731813,0.000731813
36,270.425,1.3015,0.773,0.88922,0.86384,0.81815,0.89057,0.59659,1.07593,0.65072,0.84858,0.000704307,0.000704307,0.000704307
37,278.291,1.30273,0.77105,0.88502,0.85604,0.84065,0.90827,0.59092,1.11341,0.63754,0.85733,0.000676802,0.000676802,0.000676802
38,285.714,1.29038,0.75747,0.88659,0.87878,0.82005,0.9109,0.62572,1.0262,0.61183,0.8464,0.000649297,0.000649297,0.000649297
39,292.767,1.29453,0.75567,0.8866,0.9013,0.81807,0.9048,0.60778,1.03528,0.61198,0.85233,0.000621791,0.000621791,0.000621791
40,299.826,1.28819,0.75125,0.88761,0.82578,0.8289,0.88619,0.59194,1.09025,0.65418,0.85119,0.000594286,0.000594286,0.000594286
41,307.344,1.29233,0.74808,0.87994,0.85569,0.82817,0.89748,0.59882,1.07525,0.62853,0.85475,0.00056678,0.00056678,0.00056678
42,315.334,1.24792,0.73024,0.88209,0.85799,0.8442,0.90934,0.61974,1.03551,0.60089,0.84854,0.000539275,0.000539275,0.000539275
43,323.454,1.26676,0.7295,0.87761,0.85437,0.86274,0.89959,0.62039,1.03032,0.60556,0.84727,0.000511769,0.000511769,0.000511769
44,331.455,1.27395,0.7406,0.87927,0.84997,0.83122,0.89927,0.58651,1.10754,0.62932,0.85496,0.000484263,0.000484263,0.000484263
45,338.688,1.25812,0.73153,0.8816,0.82424,0.89203,0.9114,0.62502,0.99536,0.59234,0.84403,0.000456758,0.000456758,0.000456758
46,346.674,1.24883,0.71896,0.87789,0.82726,0.87665,0.9057,0.62306,1.03387,0.59265,0.84859,0.000429253,0.000429253,0.000429253
47,354.409,1.25493,0.71378,0.8732,0.83608,0.87648,0.90823,0.61029,1.07688,0.60578,0.85267,0.000401747,0.000401747,0.000401747
48,362.917,1.25691,0.725,0.87711,0.85855,0.82796,0.89869,0.59033,1.10242,0.63005,0.85728,0.000374242,0.000374242,0.000374242
49,370.921,1.24306,0.71346,0.87285,0.82098,0.88884,0.91076,0.63279,1.01484,0.5886,0.84436,0.000346736,0.000346736,0.000346736
50,378.883,1.22651,0.70187,0.872,0.84381,0.86003,0.90076,0.62332,1.02123,0.59872,0.84452,0.000319231,0.000319231,0.000319231
51,415.11,1.23955,0.70989,0.89024,0.8311,0.86853,0.90619,0.62584,1.00095,0.61114,0.84303,0.000291725,0.000291725,0.000291725
52,422.279,1.23358,0.69647,0.88577,0.84652,0.87169,0.91072,0.63108,1.01713,0.59613,0.84336,0.00026422,0.00026422,0.00026422
53,429.564,1.24928,0.69307,0.88552,0.8521,0.84374,0.90438,0.61944,1.01773,0.5973,0.84411,0.000236714,0.000236714,0.000236714
54,436.397,1.21742,0.67441,0.88529,0.86075,0.86024,0.90965,0.63433,1.00069,0.59018,0.84202,0.000209209,0.000209209,0.000209209
55,443.31,1.19429,0.66687,0.87663,0.82736,0.87195,0.9001,0.61937,1.01021,0.59598,0.84381,0.000181703,0.000181703,0.000181703
56,450.117,1.17735,0.65654,0.87617,0.85389,0.834,0.90126,0.61589,1.02479,0.5902,0.84773,0.000154198,0.000154198,0.000154198
57,457.798,1.20046,0.65975,0.88172,0.83685,0.87415,0.90328,0.63015,0.99417,0.58021,0.84356,0.000126692,0.000126692,0.000126692
58,465.462,1.1834,0.65247,0.88191,0.838,0.88494,0.90472,0.632,0.99268,0.58209,0.84259,9.91865e-05,9.91865e-05,9.91865e-05
59,472.521,1.17075,0.65598,0.8791,0.85231,0.85459,0.90354,0.63419,0.99549,0.57826,0.8424,7.1681e-05,7.1681e-05,7.1681e-05
60,479.512,1.17935,0.65778,0.86946,0.83794,0.85566,0.90006,0.61352,1.01575,0.57905,0.8449,4.41755e-05,4.41755e-05,4.41755e-05
